X,Y,Yaw,Timestamp
1.42985,0.388872,-0.0575944,4.14
1.43847,0.388266,-0.105662,4.16
1.44706,0.387342,-0.113223,4.18
1.45564,0.386329,-0.118855,4.2
1.46422,0.385309,-0.117141,4.22
1.4728,0.3843,-0.117141,4.24
1.48136,0.383131,-0.138477,4.26
1.48992,0.381938,-0.138477,4.28
1.49848,0.38078,-0.136244,4.3
1.50704,0.379607,-0.136244,4.32
1.5156,0.378453,-0.13328,4.34
1.52417,0.377305,-0.13328,4.36
1.53273,0.376115,-0.138965,4.38
1.54128,0.374918,-0.138965,4.4
1.54983,0.373632,-0.149672,4.42
1.55834,0.372194,-0.175984,4.44
1.56685,0.370681,-0.175984,4.46
1.57538,0.369317,-0.133579,4.48
1.58394,0.368125,-0.141459,4.5
1.59249,0.366907,-0.141459,4.52
1.60104,0.365681,-0.15024,4.54
1.60959,0.364397,-0.14897,4.56
1.61815,0.363251,-0.109148,4.58
1.62674,0.362353,-0.10223,4.6
1.63533,0.361396,-0.111266,4.62
1.64392,0.360436,-0.111266,4.64
1.65252,0.359644,-0.0683295,4.66
1.66114,0.359054,-0.0683295,4.68
1.66974,0.358261,-0.124672,4.7
1.67831,0.35718,-0.129659,4.72
1.68688,0.356083,-0.125784,4.74
1.69546,0.355037,-0.120592,4.76
1.70403,0.353955,-0.136017,4.78
1.71259,0.352754,-0.168775,4.8
1.7211,0.351303,-0.168775,4.82
1.72963,0.349903,-0.160992,4.84
1.73816,0.348531,-0.155108,4.86
1.74669,0.347196,-0.155108,4.88
1.75522,0.345803,-0.164959,4.9
1.76375,0.344441,-0.155262,4.92
1.7723,0.343181,-0.146359,4.94
1.78085,0.341921,-0.146359,4.96
1.78941,0.34074,-0.12874,4.98
1.79798,0.339631,-0.12874,5
1.80652,0.338342,-0.151593,5.02
1.81505,0.336984,-0.189995,5.04
1.82354,0.335353,-0.189995,5.06
1.83196,0.333448,-0.226272,5.08
1.84039,0.331557,-0.194579,5.1
1.84887,0.329886,-0.194579,5.12
1.85734,0.328166,-0.206487,5.14
1.8658,0.326422,-0.19607,5.16
1.87427,0.324739,-0.19607,5.18
1.88278,0.323241,-0.145042,5.2
1.89134,0.322069,-0.13382,5.22
1.8999,0.3209,-0.139154,5.24
1.90845,0.319678,-0.156015,5.26
1.91699,0.318336,-0.156015,5.28
1.92554,0.317137,-0.112627,5.3
1.93413,0.316166,-0.112627,5.32
1.9427,0.315082,-0.161474,5.34
1.95122,0.313692,-0.161474,5.36
1.95978,0.31247,-0.130264,5.38
1.96835,0.311373,-0.0888885,5.4
1.97695,0.310606,-0.0888885,5.42
1.98555,0.309723,-0.110657,5.44
1.99414,0.3088,-0.10539,5.46
2.00271,0.307733,-0.128354,5.48
2.01126,0.306475,-0.158857,5.5
2.0198,0.30515,-0.140495,5.52
2.02835,0.303921,-0.163888,5.54
2.03687,0.302511,-0.163888,5.56
2.0454,0.301119,-0.148231,5.58
2.05394,0.299843,-0.148231,5.6
2.06249,0.298566,-0.15074,5.62
2.07103,0.297262,-0.151722,5.64
2.07958,0.29602,-0.122818,5.66
2.08816,0.294975,-0.119194,5.68
2.09673,0.293947,-0.119194,5.7
2.1053,0.292809,-0.168253,5.72
2.11382,0.291369,-0.165696,5.74
2.12234,0.289944,-0.165696,5.76
2.13085,0.288467,-0.197078,5.78
2.13932,0.286752,-0.219081,5.8
2.14775,0.284874,-0.219081,5.82
2.1562,0.283053,-0.186182,5.84
2.16469,0.281441,-0.187861,5.86
2.17317,0.279827,-0.187861,5.88
2.18167,0.278256,-0.181886,5.9
2.19016,0.276663,-0.194523,5.92
2.19864,0.274993,-0.194523,5.94
2.2071,0.273262,-0.21986,5.96
2.21553,0.271373,-0.218304,5.98
2.22397,0.269511,-0.217169,6
2.23241,0.267649,-0.217169,6.02
2.24085,0.265795,-0.216043,6.04
2.24931,0.264072,-0.180439,6.06
2.25781,0.262519,-0.18635,6.08
2.26629,0.260872,-0.193569,6.1
2.2748,0.259354,-0.163439,6.12
2.28332,0.257949,-0.163439,6.14
2.29186,0.256602,-0.148733,6.16
2.30041,0.255383,-0.142006,6.18
2.30896,0.25416,-0.142006,6.2
2.31752,0.252951,-0.123883,6.22
2.32609,0.251883,-0.123883,6.24
